category,review_type,rating,consumer,consumer rating,brand_name,review
상의,1,4.9,"남성, 170cm, 90kg",3,푸마 셀렉트,조금 작습니다 ㅜㅜ 한치수 크게살걸 그랬습니다 아쉽네요
상의,1,4.9,"남성, 175cm, 69kg",3,푸마 셀렉트,"무적권 사세요…핏이 진짜 이쁘고 소재도 밀도가 높아서 오버한 핏이 잘잡힘

색깔은 쨍하니 예쁘고 시보리는 별로 안탄탄해서 완벽하게는 안접어지는데 색감이랑 핏이 깡패

아미치곤 싸다보니까 너도나도 다입고다닐거같은게 흠이지만

그래도 전체적으로는 만족"
상의,1,4.9,"남성, 174cm, 75kg",4,푸마 셀렉트,후드티라 더 더워지기전에 자주 입을것 같아 만족합니다
상의,1,4.9,"남성, 170cm, 60kg",4,푸마 셀렉트,꽤나 두껍네요. 늦봄까지 입기엔 글쎄요 하지만 옷이 이뻐서 그래도 더울것같네요
상의,1,4.9,"남성, 178cm, 75kg",4,푸마 셀렉트,두껍지 않지만 탄탄한 후드입니다 몸 기장과 팔 기장이 통에 비해 길진 x
상의,1,4.9,"남성, 180cm, 76kg",4,푸마 셀렉트,"일단 상대적으로 저렴한 가격에 아미 감성 느낄 수 있는 게 좋고, 디자인 심플하니 유행 안탑니다."
상의,1,4.9,"남성, 171cm, 80kg",4,푸마 셀렉트,"두께감이 있어 봄 날씨에 더울 수 있어요

두께감으로 다른 상의랑 매칭하기는 어려울 것같아요"
상의,1,4.9,"남성, 174cm, 65kg",4,푸마 셀렉트,"174 65 m사이즈
두툼하니 기모가없어서 봄가을착용가능하구요
아미스타일로 기장은 짧은편이고 소매는 길어요"
상의,1,4.9,"남성, 176cm, 57kg",4,푸마 셀렉트,"핏이나 재질감이 우선 좋아요
콜라보했으니 귀여운 맛으로 입기도 좋습니다!"
상의,1,4.9,"남성, 173cm, 90kg",4,푸마 셀렉트,어깨쪽이 좀 넒어요 무게도 적당한거 같고 색상도 잘 나왔네요
상의,1,4.9,"남성, 181cm, 81kg",5,푸마 셀렉트,"기장은 짧지만 핏이 박시해서 예쁜 느낌
아미맛 제대로 건졌네요 ! ㅎㅎ"
상의,1,4.9,"남성, 181cm, 81kg",5,푸마 셀렉트,"오버핏 인데 기장 짧아요
품은커요
가성비로 치면 매우 좋습니다
매우만족 합니다"
상의,1,4.9,"남성, 181cm, 81kg",5,푸마 셀렉트,그레이에 블랙 로고가 예쁘게 박혀있어요! 비록 푸마지만 아미를 이 가격에 살수있다면 무조건! 핏도 적당하니 예쁩니다!
상의,1,4.9,"남성, 181cm, 81kg",5,푸마 셀렉트,푸마 로고 네임펜으로 칠해버림.. 그냥 그럭저럭 입을만 해요..
상의,1,4.9,"남성, 181cm, 81kg",5,푸마 셀렉트,낙낙하고 짱짱하니 좋습니다 로고 포인트가 이뻐요
